session_id,start_time,end_time,start_frame,end_frame,audio_path,num_speakers,spk0_video_path,spk0_label_path,spk0_start_frame,spk0_end_frame,spk1_video_path,spk1_label_path,spk1_start_frame,spk1_end_frame,spk2_video_path,spk2_label_path,spk2_start_frame,spk2_end_frame,spk3_video_path,spk3_label_path,spk3_start_frame,spk3_end_frame,spk4_video_path,spk4_label_path,spk4_start_frame,spk4_end_frame,spk5_video_path,spk5_label_path,spk5_start_frame,spk5_end_frame,spk6_video_path,spk6_label_path,spk6_start_frame,spk6_end_frame,spk7_video_path,spk7_label_path,spk7_start_frame,spk7_end_frame
session_00,0.0,8.0,0,200,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,0,200,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,0,200,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,0,200,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,4.0,12.0,100,300,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,100,300,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,100,300,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,100,300,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,8.0,16.0,200,400,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,200,400,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,200,400,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,200,400,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,12.0,20.0,300,500,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,300,500,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,300,500,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,300,500,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,16.0,24.0,400,600,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,400,600,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,400,600,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,400,600,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,20.0,28.0,500,700,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,500,700,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,500,700,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,500,700,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,24.0,32.0,600,800,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,600,800,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,600,800,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,600,800,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,28.0,36.0,700,900,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,700,900,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,700,900,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,700,900,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,32.0,40.0,800,1000,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,800,1000,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,800,1000,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,800,1000,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,36.0,44.0,900,1100,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,900,1100,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,900,1100,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,900,1100,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
session_00,40.0,48.0,1000,1200,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/audio_features.npy,3,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_1.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,1000,1200,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_3.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,1000,1200,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/video_features/spk_4.npy,/home/speech-audio-research/22b3965/train-bin/tran-bin/modified-train/session_00/diarization_labels.npy,1000,1200,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1,,,-1,-1
